AccidentID,CarID,Date,Severity,Description,RepairCost
A22562,C14978,2024-11-16,Minor,Damage from pothole incident,4957.0
A22563,C14978,2024-12-15,Moderate,Front bumper scrape,3785.0
A57692,C38404,2024-08-22,Minor,Fender scratch from curb,1254.0
A16589,C10994,2022-06-25,Major,Front bumper scrape,4310.0
A16590,C10994,2023-02-01,Moderate,Minor parking lot accident,1603.0
A66846,C44422,2024-02-09,Major,Door dent from tight parking,4347.0
A66847,C44422,2022-02-02,Severe,Front-end collision,261.0
A66848,C44422,2021-02-25,Moderate,Head-on collision,3627.0
A39996,C26582,2021-04-22,Major,Rear-end hit at traffic light,4165.0
A04609,C03121,2024-10-23,Major,Rear bumper collision,3673.0
A04610,C03121,2024-01-19,Moderate,Rear quarter panel dent,125.0
A04611,C03121,2020-11-11,Minor,Windshield damage,811.0
A56279,C37448,2025-01-09,Major,Scratched paint on rear bumper,3726.0
A06056,C04058,2025-03-08,Minor,Side panel scratch,2359.0
A48027,C31986,2021-08-13,Minor,Head-on collision,2505.0
A48028,C31986,2025-05-24,Moderate,Hood dent from minor crash,4638.0
A74165,C49292,2022-10-12,Major,Minor collision at roundabout,440.0
A74166,C49292,2023-02-02,Severe,Parking lot scrape,4326.0
A74167,C49292,2023-12-05,Moderate,Hood dent from minor crash,342.0
A28337,C18870,2023-07-01,Major,Accident on slippery road,3372.0
A28338,C18870,2025-02-15,Severe,Rear-end hit at traffic light,4796.0
A28339,C18870,2022-10-12,Minor,Rear bumper collision,1528.0
A41733,C27740,2021-09-28,Minor,Side panel scratch,4530.0
A10610,C07071,2023-03-22,Minor,Front-end collision,4524.0
A10611,C07071,2021-07-20,Severe,Side mirror broken,178.0
A10612,C07071,2024-10-03,Major,Rear-end hit at traffic light,4167.0
A50883,C33875,2021-03-26,Minor,Rear bumper collision,1919.0
A50884,C33875,2023-01-16,Moderate,Scratched paint on rear bumper,3359.0
A50885,C33875,2022-05-23,Minor,Scratched paint on rear bumper,2948.0
A44423,C29559,2022-06-09,Major,Rear quarter panel dent,3647.0
A44424,C29559,2024-05-27,Major,Front-end collision,4343.0
A44425,C29559,2025-05-24,Major,Fender scratch from curb,4124.0
A06813,C04570,2024-07-22,Moderate,Parking lot scrape,2926.0
A06814,C04570,2020-12-03,Major,Damage from pothole incident,2762.0
A06815,C04570,2023-08-09,Severe,Front bumper scrape,1150.0
A32266,C21497,2022-01-04,Minor,Side panel scratch,4908.0
A27296,C18176,2021-05-30,Minor,Windshield damage,1414.0
A09475,C06330,2023-01-22,Moderate,Minor collision at roundabout,1731.0
A22412,C14875,2024-08-12,Moderate,Parking lot scrape,2761.0
A22413,C14875,2024-10-30,Severe,Side panel scratch,1563.0
A60881,C40463,2022-02-14,Minor,Minor parking lot accident,4520.0
A71342,C47442,2022-08-11,Minor,Tire puncture during accident,861.0
A58999,C39231,2022-08-04,Severe,Windshield damage,191.0
A59000,C39231,2023-09-25,Moderate,Rear quarter panel dent,891.0
A59001,C39231,2023-03-29,Major,Hood dent from minor crash,1558.0
A45263,C30147,2022-03-13,Major,Hood dent from minor crash,1510.0
A45264,C30147,2023-07-03,Severe,Collision with pole,3463.0
A74246,C49347,2021-04-07,Minor,Tire puncture during accident,4949.0
A74247,C49347,2023-06-23,Moderate,Tire puncture during accident,4467.0
A00293,C00199,2022-11-15,Moderate,Damage from pothole incident,4904.0
A00294,C00199,2021-11-25,Severe,Side swipe from passing vehicle,230.0
A02072,C01449,2022-06-14,Severe,Minor collision at roundabout,4220.0
A02073,C01449,2022-03-16,Minor,Accident on slippery road,4377.0
A02074,C01449,2021-08-27,Severe,Head-on collision,718.0
A26666,C17758,2022-12-15,Major,Rear-end hit at traffic light,4751.0
A26667,C17758,2022-01-18,Minor,Fender scratch from curb,1009.0
A26668,C17758,2023-11-19,Severe,Hood dent from minor crash,594.0
A66249,C44012,2023-07-17,Moderate,Rear bumper collision,1143.0
A15529,C10269,2021-05-30,Minor,Tire puncture during accident,2927.0
A15530,C10269,2022-12-31,Moderate,Head-on collision,4730.0
A15531,C10269,2024-09-06,Minor,Hood dent from minor crash,2584.0
A48068,C32009,2022-07-13,Severe,Fender scratch from curb,2951.0
A48069,C32009,2025-04-05,Moderate,Tire puncture during accident,738.0
A48070,C32009,2021-06-02,Minor,Scratched paint on rear bumper,3922.0
A31264,C20834,2022-04-12,Major,Rear-end hit at traffic light,1223.0
A31265,C20834,2024-06-01,Minor,Minor parking lot accident,2220.0
A31266,C20834,2025-05-02,Moderate,Front bumper scrape,2173.0
A52025,C34627,2020-10-29,Severe,Rear-end hit at traffic light,4483.0
A52026,C34627,2022-06-22,Moderate,Head-on collision,2507.0
A13036,C08660,2023-10-24,Severe,Tire puncture during accident,4330.0
A13037,C08660,2022-04-15,Minor,Door dent from tight parking,3967.0
A13038,C08660,2024-02-14,Severe,Fender scratch from curb,671.0
A15150,C10046,2025-05-08,Moderate,Front-end collision,2637.0
A15151,C10046,2024-02-01,Moderate,Tire puncture during accident,529.0
A15152,C10046,2022-09-20,Moderate,Collision with pole,3615.0
A24595,C16380,2023-05-25,Severe,Parking lot scrape,3303.0
A24596,C16380,2021-08-19,Major,Windshield damage,261.0
A25893,C17245,2025-04-17,Severe,Damage from pothole incident,1842.0
A47413,C31571,2023-12-20,Major,Head-on collision,3402.0
A47414,C31571,2023-04-16,Moderate,Side swipe from passing vehicle,3330.0
A47415,C31571,2025-05-01,Minor,Side swipe from passing vehicle,4145.0
A29623,C19724,2022-06-25,Moderate,Collision with pole,2723.0
A29624,C19724,2021-02-09,Moderate,Accident on slippery road,2985.0
A29625,C19724,2022-11-28,Severe,Side swipe from passing vehicle,2291.0
A60687,C40337,2020-12-10,Moderate,Side swipe from passing vehicle,1887.0
A60688,C40337,2024-04-23,Moderate,Side swipe from passing vehicle,1739.0
A60689,C40337,2024-08-03,Severe,Side mirror broken,4621.0
A19045,C12619,2023-09-25,Major,Side mirror broken,274.0
A19046,C12619,2023-07-01,Moderate,Side mirror broken,830.0
A08590,C05747,2021-11-06,Minor,Fender scratch from curb,4655.0
A64951,C43135,2022-10-19,Major,Hood dent from minor crash,1719.0
A64952,C43135,2024-03-18,Minor,Rear-end hit at traffic light,4099.0
A71003,C47224,2020-11-02,Severe,Tire puncture during accident,3940.0
A38050,C25327,2021-07-12,Major,Hood dent from minor crash,1614.0
A38051,C25327,2021-10-02,Minor,Minor fender bender,308.0
A38052,C25327,2020-10-20,Severe,Minor collision at roundabout,3940.0
A66555,C44217,2021-04-26,Major,Hood dent from minor crash,2358.0
A66556,C44217,2020-09-10,Major,Front bumper scrape,3490.0
A66557,C44217,2025-07-11,Minor,Fender scratch from curb,2665.0
A29765,C19820,2023-01-15,Major,Tire puncture during accident,2630.0
A71765,C47714,2021-01-17,Moderate,Minor parking lot accident,1769.0
A71766,C47714,2022-09-26,Severe,Scratched paint on rear bumper,4026.0
A71767,C47714,2025-08-17,Minor,Front bumper scrape,2276.0
A68672,C45674,2025-04-30,Major,Damage from pothole incident,4128.0
A68673,C45674,2022-04-21,Major,Minor parking lot accident,845.0
A68674,C45674,2021-03-06,Moderate,Front-end collision,167.0
A62947,C41828,2022-12-11,Major,Door dent from tight parking,4884.0
A62948,C41828,2021-01-11,Major,Side swipe from passing vehicle,4488.0
A62949,C41828,2024-09-11,Moderate,Rear quarter panel dent,2949.0
A05712,C03841,2025-07-16,Moderate,Rear-end hit at traffic light,204.0
A05713,C03841,2023-04-24,Severe,Side swipe from passing vehicle,2586.0
A05714,C03841,2025-02-06,Major,Minor collision at roundabout,4882.0
A52513,C34966,2021-04-10,Moderate,Scratched paint on rear bumper,1853.0
A52514,C34966,2022-10-23,Minor,Door dent from tight parking,3945.0
A52515,C34966,2021-06-22,Severe,Windshield damage,2600.0
A50974,C33932,2023-08-18,Minor,Accident on slippery road,1571.0
A50975,C33932,2021-11-30,Minor,Damage from pothole incident,1228.0
A52982,C35275,2021-07-30,Minor,Scratched paint on rear bumper,1794.0
A52983,C35275,2024-09-17,Moderate,Rear quarter panel dent,4757.0
A52984,C35275,2022-07-22,Major,Scratched paint on rear bumper,2470.0
A48727,C32447,2021-10-17,Major,Hood dent from minor crash,1035.0
A48728,C32447,2023-10-27,Severe,Door dent from tight parking,1571.0
A00985,C00682,2021-08-23,Major,Tire puncture during accident,1170.0
A00986,C00682,2023-08-31,Minor,Collision with pole,3133.0
A00987,C00682,2021-09-06,Severe,Accident on slippery road,1308.0
A67947,C45180,2025-08-31,Minor,Rear-end hit at traffic light,1879.0
A70572,C46940,2023-07-29,Severe,Minor fender bender,1741.0
A70573,C46940,2020-12-07,Minor,Minor fender bender,3322.0
A62836,C41769,2023-07-22,Major,Minor fender bender,565.0
A13268,C08813,2023-07-13,Moderate,Scratched paint on rear bumper,3460.0
A13269,C08813,2024-08-28,Minor,Tire puncture during accident,243.0
A37960,C25267,2020-12-23,Major,Rear bumper collision,842.0
A37961,C25267,2025-08-29,Moderate,Accident on slippery road,404.0
A42977,C28592,2024-05-20,Severe,Rear quarter panel dent,3441.0
A42978,C28592,2021-03-04,Severe,Tire puncture during accident,1590.0
A42979,C28592,2023-05-21,Moderate,Head-on collision,4994.0
A19259,C12759,2025-08-28,Major,Head-on collision,1716.0
A19260,C12759,2023-07-12,Minor,Collision with pole,707.0
A19261,C12759,2023-09-21,Moderate,Side swipe from passing vehicle,3670.0
A12784,C08475,2021-01-20,Severe,Head-on collision,2966.0
A12785,C08475,2021-11-11,Major,Hood dent from minor crash,3566.0
A12786,C08475,2020-12-17,Minor,Head-on collision,3015.0
A37218,C24803,2025-06-14,Major,Head-on collision,2714.0
A37219,C24803,2021-05-20,Moderate,Hood dent from minor crash,3565.0
A37220,C24803,2021-03-15,Severe,Fender scratch from curb,470.0
A20351,C13506,2023-04-10,Minor,Side panel scratch,1697.0
A20352,C13506,2024-04-14,Moderate,Side panel scratch,4430.0
A67654,C44985,2023-07-09,Moderate,Minor fender bender,3334.0
A67655,C44985,2020-12-06,Minor,Windshield damage,3254.0
A09303,C06225,2025-03-02,Moderate,Rear bumper collision,4453.0
A09304,C06225,2025-03-28,Minor,Damage from pothole incident,2358.0
A50044,C33323,2023-06-22,Minor,Head-on collision,3845.0
A48294,C32157,2024-10-10,Severe,Minor parking lot accident,4111.0
A48295,C32157,2021-02-07,Severe,Rear quarter panel dent,3779.0
A48296,C32157,2023-05-08,Moderate,Minor fender bender,2268.0
A67890,C45144,2022-01-04,Severe,Windshield damage,4919.0
A67891,C45144,2023-02-13,Minor,Windshield damage,2897.0
A15805,C10461,2021-06-21,Severe,Rear-end hit at traffic light,4954.0
A15806,C10461,2021-08-14,Minor,Side panel scratch,4087.0
A51253,C34111,2023-07-08,Major,Head-on collision,3229.0
A55402,C36901,2024-07-04,Severe,Minor fender bender,4660.0
A55403,C36901,2024-03-13,Major,Rear-end hit at traffic light,4084.0
A55404,C36901,2024-01-29,Severe,Collision with pole,3559.0
A54768,C36463,2024-06-06,Minor,Head-on collision,644.0
A54769,C36463,2021-04-14,Moderate,Collision with pole,3997.0
A00853,C00586,2020-09-18,Moderate,Minor parking lot accident,2488.0
A58807,C39110,2025-07-22,Major,Tire puncture during accident,963.0
A58808,C39110,2025-02-06,Major,Front bumper scrape,1094.0
A58809,C39110,2025-03-17,Severe,Minor collision at roundabout,2265.0
A44068,C29317,2024-04-14,Major,Minor fender bender,752.0
A65911,C43786,2021-12-17,Minor,Scratched paint on rear bumper,1109.0
A65912,C43786,2023-04-11,Moderate,Hood dent from minor crash,2334.0
A35429,C23585,2022-10-23,Moderate,Minor collision at roundabout,1153.0
A35430,C23585,2024-12-22,Major,Windshield damage,3717.0
A35431,C23585,2021-09-01,Minor,Side mirror broken,3454.0
A60280,C40065,2022-09-13,Severe,Damage from pothole incident,2737.0
A60281,C40065,2025-04-15,Minor,Rear-end hit at traffic light,2924.0
A60282,C40065,2024-11-22,Major,Door dent from tight parking,215.0
A11487,C07651,2023-07-09,Minor,Minor parking lot accident,2905.0
A11383,C07585,2024-03-13,Minor,Fender scratch from curb,3576.0
A61010,C40552,2021-01-06,Severe,Minor fender bender,905.0
A61011,C40552,2022-08-15,Minor,Tire puncture during accident,2678.0
A55448,C36928,2021-05-06,Major,Rear-end hit at traffic light,2115.0
A55449,C36928,2021-03-15,Severe,Side swipe from passing vehicle,122.0
A55450,C36928,2021-09-22,Major,Parking lot scrape,784.0
A20149,C13374,2022-08-26,Major,Side mirror broken,3263.0
A36755,C24493,2021-08-04,Minor,Head-on collision,2500.0
A03581,C02464,2020-09-11,Moderate,Front bumper scrape,2527.0
A03582,C02464,2022-11-18,Major,Parking lot scrape,2143.0
A03583,C02464,2022-05-05,Severe,Side mirror broken,2092.0
A47590,C31685,2023-06-28,Severe,Side swipe from passing vehicle,367.0
A56249,C37429,2024-06-25,Moderate,Hood dent from minor crash,715.0
A56250,C37429,2022-10-04,Moderate,Side swipe from passing vehicle,2878.0
A30570,C20340,2022-03-22,Moderate,Hood dent from minor crash,4026.0
A66589,C44241,2021-05-29,Minor,Rear-end hit at traffic light,3268.0
A66590,C44241,2021-01-24,Minor,Rear bumper collision,2680.0
A71291,C47408,2023-06-26,Moderate,Side mirror broken,4950.0
A71292,C47408,2021-07-03,Moderate,Fender scratch from curb,1899.0
A71293,C47408,2022-04-24,Moderate,Minor parking lot accident,3863.0
A26366,C17553,2022-04-14,Minor,Side panel scratch,4763.0
A26367,C17553,2024-04-20,Moderate,Collision with pole,138.0
A35329,C23515,2023-06-13,Major,Side swipe from passing vehicle,399.0
A35330,C23515,2021-08-07,Minor,Accident on slippery road,2950.0
A70442,C46860,2022-04-24,Severe,Front-end collision,3538.0
A70443,C46860,2020-12-12,Minor,Minor fender bender,1653.0
A44473,C29597,2024-11-21,Major,Minor fender bender,3416.0
A44474,C29597,2023-04-04,Moderate,Rear bumper collision,4469.0
A27081,C18047,2021-05-19,Severe,Collision with pole,4411.0
A27082,C18047,2021-05-10,Moderate,Side panel scratch,1763.0
A27083,C18047,2023-05-12,Major,Rear bumper collision,3150.0
A66840,C44419,2020-12-10,Major,Parking lot scrape,2678.0
A47406,C31563,2024-03-14,Major,Front bumper scrape,1857.0
A47407,C31563,2023-03-17,Minor,Scratched paint on rear bumper,1910.0
A52508,C34963,2023-05-08,Moderate,Front-end collision,3016.0
A52509,C34963,2024-12-20,Severe,Damage from pothole incident,4881.0
A10586,C07056,2024-08-11,Severe,Rear-end hit at traffic light,3030.0
A11481,C07647,2023-06-30,Moderate,Accident on slippery road,1274.0
A66148,C43936,2024-04-07,Major,Front bumper scrape,4252.0
A66149,C43936,2023-09-02,Moderate,Accident on slippery road,2393.0
A66150,C43936,2021-12-01,Severe,Parking lot scrape,4868.0
A41699,C27720,2021-01-28,Minor,Parking lot scrape,3349.0
A41700,C27720,2025-06-09,Major,Side mirror broken,1801.0
A41701,C27720,2024-11-02,Major,Fender scratch from curb,4454.0
A42769,C28449,2023-10-03,Severe,Door dent from tight parking,3270.0
A36601,C24385,2022-02-17,Minor,Door dent from tight parking,979.0
A58536,C38940,2021-08-03,Minor,Collision with pole,4891.0
A54776,C36466,2023-07-29,Severe,Rear bumper collision,2916.0
A16485,C10928,2024-09-27,Minor,Windshield damage,604.0
A16486,C10928,2020-10-28,Moderate,Side panel scratch,3664.0
A19471,C12895,2025-05-20,Moderate,Parking lot scrape,2332.0
A19472,C12895,2022-02-11,Major,Scratched paint on rear bumper,2012.0
A19473,C12895,2021-05-21,Major,Hood dent from minor crash,2883.0
A61779,C41068,2025-07-25,Moderate,Head-on collision,1862.0
A61780,C41068,2024-10-03,Severe,Side panel scratch,1120.0
A61781,C41068,2023-03-14,Severe,Front bumper scrape,244.0
A04874,C03291,2024-02-24,Severe,Fender scratch from curb,4175.0
A51265,C34118,2025-01-10,Severe,Minor collision at roundabout,3658.0
A51266,C34118,2022-12-12,Minor,Parking lot scrape,1718.0
A51267,C34118,2021-07-28,Severe,Windshield damage,2727.0
A17229,C11428,2025-06-05,Moderate,Scratched paint on rear bumper,2062.0
A17230,C11428,2024-07-17,Major,Rear-end hit at traffic light,592.0
A17231,C11428,2023-09-13,Major,Minor parking lot accident,4086.0
A29254,C19475,2024-08-14,Major,Collision with pole,4197.0
A05173,C03495,2024-09-22,Major,Rear quarter panel dent,271.0
A05174,C03495,2023-03-23,Minor,Side mirror broken,2303.0
A18669,C12378,2024-07-12,Moderate,Minor parking lot accident,1047.0
A30604,C20367,2024-10-07,Moderate,Front-end collision,3517.0
A68678,C45678,2022-06-25,Major,Damage from pothole incident,523.0
A10401,C06917,2024-08-18,Minor,Side mirror broken,316.0
A10402,C06917,2021-03-13,Minor,Door dent from tight parking,2921.0
A27050,C18028,2022-12-25,Minor,Scratched paint on rear bumper,1451.0
A27051,C18028,2024-04-06,Moderate,Front-end collision,3292.0
A56719,C37746,2021-05-07,Severe,Minor parking lot accident,615.0
A56720,C37746,2022-04-11,Minor,Tire puncture during accident,2963.0
A56721,C37746,2023-02-19,Minor,Parking lot scrape,4779.0
A32012,C21329,2022-06-25,Severe,Rear quarter panel dent,652.0
A32013,C21329,2022-06-09,Severe,Front bumper scrape,2670.0
A32014,C21329,2022-06-10,Major,Windshield damage,1759.0
A30474,C20280,2022-03-03,Major,Front-end collision,935.0
A30475,C20280,2020-10-19,Minor,Scratched paint on rear bumper,4782.0
A63041,C41886,2021-11-10,Minor,Damage from pothole incident,2018.0
A24853,C16546,2020-10-03,Minor,Head-on collision,1688.0
A24854,C16546,2024-08-05,Severe,Minor collision at roundabout,2622.0
A21195,C14068,2024-06-11,Major,Side mirror broken,3684.0
A21196,C14068,2021-10-13,Major,Front bumper scrape,4329.0
A21197,C14068,2024-12-02,Severe,Hood dent from minor crash,3937.0
A30977,C20631,2020-12-29,Major,Door dent from tight parking,1526.0
A30978,C20631,2023-03-01,Major,Accident on slippery road,3391.0
A31887,C21240,2022-12-23,Major,Accident on slippery road,789.0
A31888,C21240,2021-01-03,Major,Rear quarter panel dent,4211.0
A40843,C27153,2023-07-19,Severe,Accident on slippery road,3285.0
A40844,C27153,2022-01-14,Moderate,Parking lot scrape,2460.0
A40845,C27153,2023-07-28,Moderate,Minor collision at roundabout,367.0
A40078,C26635,2020-09-07,Major,Minor fender bender,3999.0
A40079,C26635,2024-03-09,Major,Collision with pole,588.0
A40080,C26635,2022-08-18,Major,Parking lot scrape,2959.0
A16313,C10822,2022-11-28,Major,Front-end collision,1745.0
A16314,C10822,2022-05-02,Severe,Collision with pole,4816.0
A16315,C10822,2024-06-29,Minor,Minor fender bender,2518.0
A22251,C14760,2020-12-03,Minor,Side swipe from passing vehicle,1583.0
A22252,C14760,2024-08-22,Minor,Rear-end hit at traffic light,687.0
A22253,C14760,2023-03-04,Major,Head-on collision,3179.0
A27204,C18120,2022-12-12,Severe,Door dent from tight parking,4511.0
A64578,C42882,2025-04-13,Severe,Damage from pothole incident,2233.0
A64579,C42882,2025-07-07,Severe,Collision with pole,2014.0
A64580,C42882,2024-05-28,Major,Rear bumper collision,2459.0
A74434,C49475,2025-06-26,Minor,Tire puncture during accident,3137.0
A74435,C49475,2022-05-11,Minor,Rear bumper collision,4000.0
A69462,C46195,2021-08-18,Severe,Hood dent from minor crash,2221.0
A69463,C46195,2024-11-26,Moderate,Front bumper scrape,452.0
A60305,C40079,2024-10-08,Major,Scratched paint on rear bumper,2108.0
A60306,C40079,2025-02-07,Severe,Parking lot scrape,182.0
A60307,C40079,2024-08-09,Major,Front bumper scrape,1121.0
A13410,C08910,2023-01-30,Moderate,Side swipe from passing vehicle,1959.0
A13411,C08910,2024-03-16,Minor,Accident on slippery road,3670.0
A31295,C20854,2021-07-23,Minor,Minor parking lot accident,699.0
A31296,C20854,2022-08-26,Severe,Front-end collision,2465.0
A41280,C27451,2024-01-23,Minor,Side mirror broken,2965.0
A10449,C06947,2022-04-12,Minor,Front-end collision,3018.0
A14598,C09686,2024-06-02,Minor,Front-end collision,4729.0
A14599,C09686,2022-02-10,Minor,Minor fender bender,1853.0
A14600,C09686,2021-03-22,Severe,Fender scratch from curb,1314.0
A70310,C46759,2021-07-08,Major,Rear bumper collision,791.0
A70311,C46759,2022-02-26,Severe,Accident on slippery road,3038.0
A42803,C28475,2020-10-25,Moderate,Tire puncture during accident,973.0
A42804,C28475,2020-09-25,Moderate,Minor fender bender,1779.0
A42805,C28475,2022-12-17,Minor,Front bumper scrape,4756.0
A55821,C37157,2022-08-08,Minor,Accident on slippery road,3315.0
A55822,C37157,2022-01-03,Severe,Minor fender bender,2818.0
A55823,C37157,2024-08-06,Minor,Side panel scratch,1056.0
A27087,C18050,2025-07-15,Major,Side swipe from passing vehicle,3718.0
A27088,C18050,2025-08-26,Major,Rear-end hit at traffic light,141.0
A27089,C18050,2022-07-16,Major,Side swipe from passing vehicle,2147.0
A42218,C28080,2025-02-23,Minor,Parking lot scrape,1779.0
A42219,C28080,2024-09-03,Severe,Front-end collision,1832.0
A32146,C21421,2024-05-04,Moderate,Rear-end hit at traffic light,2237.0
A32147,C21421,2021-08-13,Major,Minor parking lot accident,2530.0
A32148,C21421,2022-03-29,Minor,Front-end collision,1886.0
A72166,C47971,2022-06-05,Minor,Collision with pole,2289.0
A29062,C19346,2022-01-27,Major,Minor collision at roundabout,2089.0
A29063,C19346,2020-10-19,Severe,Rear bumper collision,1115.0
A22305,C14805,2021-12-17,Moderate,Rear-end hit at traffic light,3587.0
A22306,C14805,2022-06-09,Minor,Side mirror broken,985.0
A22307,C14805,2024-01-26,Minor,Side swipe from passing vehicle,501.0
A69146,C45992,2022-09-26,Severe,Damage from pothole incident,291.0
A68588,C45620,2021-03-04,Major,Hood dent from minor crash,3668.0
A68589,C45620,2024-08-25,Minor,Door dent from tight parking,3251.0
A73985,C49166,2021-03-27,Severe,Damage from pothole incident,359.0
A73986,C49166,2022-05-17,Minor,Tire puncture during accident,3231.0
A73987,C49166,2023-10-11,Minor,Minor fender bender,4149.0
A42500,C28280,2021-09-11,Moderate,Fender scratch from curb,4719.0
A42501,C28280,2023-11-03,Severe,Side panel scratch,2470.0
A58377,C38832,2023-03-18,Severe,Door dent from tight parking,905.0
A58378,C38832,2025-06-20,Moderate,Tire puncture during accident,4739.0
A41339,C27489,2023-10-13,Moderate,Damage from pothole incident,446.0
A41340,C27489,2022-06-25,Major,Parking lot scrape,1151.0
A41341,C27489,2022-03-08,Major,Door dent from tight parking,2370.0
A64749,C43006,2025-07-09,Moderate,Front bumper scrape,4241.0
A64750,C43006,2023-03-27,Minor,Rear-end hit at traffic light,1795.0
A15866,C10497,2021-02-14,Major,Side mirror broken,1339.0
A15867,C10497,2023-09-27,Severe,Side panel scratch,2383.0
A15868,C10497,2025-04-24,Moderate,Head-on collision,3432.0
A46860,C31209,2025-05-02,Severe,Damage from pothole incident,2380.0
A46861,C31209,2022-01-24,Severe,Front-end collision,2053.0
A61666,C40988,2022-02-15,Minor,Front-end collision,801.0
A32018,C21333,2021-09-18,Major,Minor collision at roundabout,2215.0
A05034,C03403,2023-03-17,Minor,Windshield damage,2186.0
A05035,C03403,2022-11-23,Minor,Minor fender bender,3139.0
A11693,C07781,2022-11-13,Severe,Side panel scratch,2238.0
A40820,C27136,2023-05-05,Severe,Rear-end hit at traffic light,774.0
A40821,C27136,2024-09-09,Minor,Parking lot scrape,2865.0
A38660,C25716,2025-03-24,Severe,Fender scratch from curb,1739.0
A38661,C25716,2024-12-27,Moderate,Head-on collision,2403.0
A33397,C22230,2025-03-27,Severe,Accident on slippery road,451.0
A43095,C28662,2025-03-08,Major,Minor collision at roundabout,4599.0
A43096,C28662,2023-04-29,Moderate,Rear-end hit at traffic light,4835.0
A43097,C28662,2025-05-03,Severe,Collision with pole,3966.0
A21373,C14182,2024-09-19,Severe,Rear bumper collision,1045.0
A21374,C14182,2021-10-02,Severe,Parking lot scrape,3284.0
A21375,C14182,2024-05-20,Severe,Accident on slippery road,4871.0
A59707,C39685,2023-05-25,Severe,Scratched paint on rear bumper,228.0
A59708,C39685,2020-11-19,Minor,Minor fender bender,1713.0
A59709,C39685,2022-10-28,Moderate,Tire puncture during accident,4963.0
A58593,C38979,2021-09-05,Severe,Tire puncture during accident,1764.0
A58594,C38979,2023-08-04,Minor,Rear-end hit at traffic light,1475.0
A58595,C38979,2024-09-17,Moderate,Rear quarter panel dent,4744.0
A60783,C40402,2023-04-23,Severe,Side swipe from passing vehicle,2889.0
A33917,C22604,2024-07-25,Major,Side mirror broken,3980.0
A33918,C22604,2022-10-30,Severe,Minor fender bender,984.0
A33919,C22604,2023-11-07,Severe,Door dent from tight parking,1807.0
A55608,C37028,2021-01-09,Severe,Side mirror broken,4505.0
A66804,C44394,2025-08-16,Minor,Hood dent from minor crash,4161.0
A66805,C44394,2023-11-25,Moderate,Side swipe from passing vehicle,4555.0
A66806,C44394,2023-01-23,Major,Minor parking lot accident,524.0
A49661,C33068,2021-04-16,Severe,Scratched paint on rear bumper,4502.0
A20472,C13592,2022-09-08,Minor,Scratched paint on rear bumper,1402.0
A20473,C13592,2025-09-01,Major,Rear quarter panel dent,4626.0
A66734,C44341,2023-08-28,Minor,Minor fender bender,4508.0
A66735,C44341,2022-09-16,Minor,Hood dent from minor crash,1726.0
A58430,C38870,2024-05-17,Severe,Fender scratch from curb,4554.0
A70457,C46869,2023-06-14,Major,Minor fender bender,327.0
A70458,C46869,2021-09-25,Severe,Hood dent from minor crash,806.0
A00542,C00374,2023-10-25,Minor,Collision with pole,4318.0
A73095,C48582,2022-02-09,Minor,Scratched paint on rear bumper,3549.0
A73096,C48582,2022-03-21,Major,Rear bumper collision,2689.0
A73097,C48582,2023-07-17,Minor,Front-end collision,1922.0
A48097,C32025,2024-07-21,Severe,Rear bumper collision,3723.0
A48098,C32025,2025-08-10,Severe,Windshield damage,3636.0
A48099,C32025,2024-07-05,Major,Front-end collision,1330.0
A32455,C21635,2021-07-30,Major,Fender scratch from curb,1467.0
A32456,C21635,2025-05-01,Moderate,Rear bumper collision,4927.0
A32457,C21635,2024-07-14,Severe,Side swipe from passing vehicle,1877.0
A59258,C39393,2025-04-15,Severe,Scratched paint on rear bumper,347.0
A60645,C40303,2021-08-24,Severe,Minor collision at roundabout,1289.0
A42547,C28310,2023-10-18,Minor,Rear bumper collision,863.0
A42548,C28310,2020-10-31,Minor,Parking lot scrape,155.0
A42549,C28310,2022-07-23,Minor,Collision with pole,2242.0
A47671,C31745,2023-12-19,Major,Collision with pole,2754.0
A47672,C31745,2025-08-01,Severe,Rear bumper collision,3493.0
A73294,C48721,2020-11-09,Moderate,Scratched paint on rear bumper,2333.0
A73295,C48721,2020-11-04,Moderate,Head-on collision,3962.0
A73296,C48721,2022-03-25,Minor,Tire puncture during accident,3759.0
A20951,C13912,2025-04-18,Moderate,Minor fender bender,3609.0
A20952,C13912,2022-07-28,Severe,Hood dent from minor crash,568.0
A20953,C13912,2025-04-17,Major,Front-end collision,2487.0
A10648,C07095,2024-05-19,Moderate,Scratched paint on rear bumper,1318.0
A10649,C07095,2021-07-29,Minor,Rear bumper collision,632.0
A23163,C15401,2022-02-13,Major,Collision with pole,2881.0
A63426,C42130,2021-01-09,Severe,Side mirror broken,1053.0
A63427,C42130,2022-03-08,Major,Front bumper scrape,4288.0
A44039,C29298,2022-02-28,Major,Front bumper scrape,717.0
A44040,C29298,2024-01-05,Minor,Damage from pothole incident,3215.0
A44041,C29298,2025-07-06,Major,Door dent from tight parking,2060.0
A43757,C29117,2023-05-01,Moderate,Hood dent from minor crash,3201.0
A43758,C29117,2023-03-14,Moderate,Windshield damage,2130.0
A43759,C29117,2021-07-22,Severe,Minor fender bender,2445.0
A11551,C07688,2023-12-06,Minor,Rear quarter panel dent,1754.0
A67847,C45115,2022-01-23,Severe,Side mirror broken,1316.0
